car_type,car_model,engine_class,chassis_weight_kg,moment_of_inertia,engine_weight_kg,thruster_weight_kg,fuel_weight_kg,starting_fuel_kWh,fuel_type,energy_density_MJ_per_kg,mass_density_kg_per_L,total_thrust_kN,thrust_rear_kN,thrust_front_kN,thrust_side_kN,FOV_Threat_Count,Min_Distance_In_FOV,FOV_Density,FOV_Front_Cone_Threat_Count,Angle_Weighted_Density,Threats_Left_Sector,Threats_Right_Sector,Average_Threat_Angle_Offset,heading_deg,previous_heading_deg,test_id,test_date,assigned_by,mission_type,crew_status,navigation_mode,origin_station,destination_station,car_color,last_telemetry_message,ship_serial_number
Micro,Nimbus X1,Plasma-A,700,0.8,125,106,249,213.0,PlasmaCell,6.7,1.3,52.7,31.6,15.8,5.3,2,3.659,0.76,3,0.547,4,1,45.5,67,178,CASE-5925-S,4025-05-13,Captain Kael,commute,automated,auto,Zenthar Relay,Vega Spire,GoldenRod,Fuel low. Navigating around debris.,CXS-2127-WC
Sedan,Stratos M2,Ion-A,950,1.2,227,118,212,266.7,IonGel,5.2,1.1,68.1,40.9,20.4,6.8,1,7.521,0.344,1,0.621,3,2,81.5,26,47,CASE-3733-Y,4025-03-09,Axel Orov,commute,automated,auto,Lunaris Port,Cerebra Ring,LightSteelBlue,Power levels nominal. Adjusting trajectory.,CXS-7939-CH
SUV,Vortex R7,Ion-A,1250,1.5,255,140,297,126.2,FusionCore,8.4,1.6,79.2,47.5,23.8,7.9,7,1.719,0.912,2,0.147,2,2,80.9,20,183,CASE-6227-I,4025-12-14,Commander Yulo,commute,automated,auto,Orryx Haven,Cerebra Ring,SaddleBrown,Minor vibration detected. Monitoring systems.,CXS-4441-UL
Micro,Nimbus X1,Ion-A,700,0.8,135,86,299,212.0,FusionCore,8.4,1.6,75.0,45.0,22.5,7.5,2,4.093,0.838,0,0.771,0,3,20.0,235,179,CASE-6065-L,4025-07-01,Marshal Keir,commute,automated,auto,Orryx Haven,Vega Spire,HoneyDew,Fuel low. Navigating around debris.,CXS-6000-VI
Sedan,Stratos M2,Plasma-A,950,1.2,208,101,149,179.7,PlasmaCell,6.7,1.3,51.1,30.7,15.3,5.1,6,8.503,0.123,1,0.946,0,4,39.1,160,223,CASE-1169-T,4025-11-17,Axel Orov,commute,automated,auto,Vega Spire,Thalos Crossing,FloralWhite,Re-routing due to unstable path.,CXS-9379-RX
Sedan,Stratos M2,Ion-A,950,1.2,229,136,165,108.9,IonGel,5.2,1.1,57.4,34.4,17.2,5.7,5,2.171,0.566,1,0.293,3,5,84.6,346,89,CASE-2677-O,4025-11-11,Zara Strix,commute,automated,auto,Cryon Reach,Orryx Haven,Olive,Power levels nominal. Adjusting trajectory.,CXS-5930-IU
SUV,Vortex R7,Plasma-A,1250,1.5,320,193,177,157.4,IonGel,5.2,1.1,57.2,34.3,17.2,5.7,7,9.272,0.244,4,0.605,1,5,27.9,101,75,CASE-9125-H,4025-11-07,Commander Yulo,commute,automated,auto,Helion Hub,Cryon Reach,MediumOrchid,Clear path confirmed. Continuing cruise.,CXS-1400-YY
Sedan,Stratos M2,Ion-A,950,1.2,211,130,296,114.6,PlasmaCell,6.7,1.3,56.6,34.0,17.0,5.7,2,1.066,0.771,2,0.809,3,0,50.2,62,233,CASE-3752-B,4025-07-08,Zara Strix,commute,automated,auto,Cryon Reach,Cerebra Ring,Maroon,Clear path confirmed. Continuing cruise.,CXS-3184-MI
SUV,Vortex R7,Ion-A,1250,1.5,335,173,252,163.5,PlasmaCell,6.7,1.3,70.2,42.1,21.1,7.0,6,7.928,0.356,3,0.263,2,1,24.5,163,276,CASE-3456-S,4025-08-06,Zara Strix,commute,automated,auto,Thalos Crossing,Zenthar Relay,Maroon,Minor vibration detected. Monitoring systems.,CXS-2320-GU
Sedan,Stratos M2,Fusion-B,950,1.2,199,114,277,130.6,FusionCore,8.4,1.6,48.6,29.2,14.6,4.9,0,4.896,0.637,3,0.01,3,3,48.4,279,308,CASE-6482-U,4025-08-14,Captain Kael,commute,automated,auto,Cerebra Ring,Cryon Reach,Salmon,Minor vibration detected. Monitoring systems.,CXS-4613-EI
SUV,Vortex R7,Ion-A,1250,1.5,278,157,224,105.8,FusionCore,8.4,1.6,53.4,32.0,16.0,5.3,7,4.568,0.121,1,0.177,2,1,40.9,172,194,CASE-4040-X,4025-03-20,Marshal Keir,commute,automated,auto,Cerebra Ring,Helion Hub,WhiteSmoke,Clear path confirmed. Continuing cruise.,CXS-5558-IX
SUV,Vortex R7,Plasma-A,1250,1.5,282,193,220,103.9,IonGel,5.2,1.1,61.6,37.0,18.5,6.2,3,6.487,0.518,0,0.258,4,4,86.7,58,83,CASE-7019-S,4025-01-08,Elia Vorn,commute,automated,auto,Helion Hub,Vega Spire,PaleGoldenRod,Power levels nominal. Adjusting trajectory.,CXS-6096-LH
Sedan,Stratos M2,Ion-A,950,1.2,254,101,247,235.5,FusionCore,8.4,1.6,78.3,47.0,23.5,7.8,2,8.117,0.625,4,0.348,2,0,45.5,174,6,CASE-8348-P,4025-10-23,Tamsin Ryx,commute,automated,auto,Cerebra Ring,Helion Hub,DarkGoldenRod,Power levels nominal. Adjusting trajectory.,CXS-7882-YB
SUV,Vortex R7,Ion-A,1250,1.5,263,167,262,278.3,FusionCore,8.4,1.6,58.4,35.0,17.5,5.8,8,5.281,0.623,1,0.092,1,3,51.3,342,194,CASE-2504-U,4025-11-09,Marshal Keir,commute,automated,auto,Orryx Haven,Zenthar Relay,DimGray,Minor vibration detected. Monitoring systems.,CXS-6511-ZV
Sedan,Stratos M2,Fusion-B,950,1.2,243,120,224,142.4,IonGel,5.2,1.1,71.9,43.1,21.6,7.2,2,7.475,0.789,5,0.437,2,1,36.4,124,156,CASE-9771-C,4025-01-17,Axel Orov,commute,automated,auto,Helion Hub,Orryx Haven,OliveDrab,Minor vibration detected. Monitoring systems.,CXS-7046-MT
SUV,Vortex R7,Fusion-B,1250,1.5,320,173,208,299.3,FusionCore,8.4,1.6,62.0,37.2,18.6,6.2,2,2.668,0.589,0,0.73,4,4,53.7,51,99,CASE-8669-I,4025-05-09,Commander Yulo,commute,automated,auto,Helion Hub,Cerebra Ring,Aqua,Re-routing due to unstable path.,CXS-5853-VX
Sedan,Stratos M2,Ion-A,950,1.2,226,111,103,241.6,FusionCore,8.4,1.6,45.1,27.1,13.5,4.5,6,1.096,0.525,0,0.84,0,3,44.3,295,322,CASE-8797-Y,4025-11-28,Axel Orov,commute,automated,auto,Lunaris Port,Vega Spire,LightGreen,Fuel low. Navigating around debris.,CXS-1878-YU
Sedan,Stratos M2,Fusion-B,950,1.2,199,136,121,298.8,FusionCore,8.4,1.6,44.7,26.8,13.4,4.5,6,6.273,0.594,4,0.766,2,5,7.3,122,88,CASE-1827-J,4025-07-15,Tamsin Ryx,commute,automated,auto,Cerebra Ring,Zenthar Relay,PowderBlue,Minor vibration detected. Monitoring systems.,CXS-2229-FO
Sedan,Stratos M2,Ion-A,950,1.2,180,126,276,218.8,FusionCore,8.4,1.6,51.7,31.0,15.5,5.2,3,8.151,0.718,2,0.215,2,1,6.4,84,157,CASE-4315-Q,4025-02-22,Axel Orov,commute,automated,auto,Cryon Reach,Orryx Haven,Fuchsia,Clear path confirmed. Continuing cruise.,CXS-5728-QD
SUV,Vortex R7,Plasma-A,1250,1.5,265,169,177,239.9,PlasmaCell,6.7,1.3,77.7,46.6,23.3,7.8,5,1.21,0.725,4,1.01,2,4,3.6,89,240,CASE-4889-U,4025-01-14,Elia Vorn,commute,automated,auto,Thalos Crossing,Cryon Reach,Tan,Minor vibration detected. Monitoring systems.,CXS-9502-TG
Micro,Nimbus X1,Ion-A,700,0.8,148,97,249,187.2,IonGel,5.2,1.1,72.6,43.6,21.8,7.3,1,4.016,0.37,3,0.089,0,3,77.8,0,336,CASE-6126-Y,4025-06-11,Captain Kael,commute,automated,auto,Vega Spire,Zenthar Relay,DodgerBlue,Clear path confirmed. Continuing cruise.,CXS-9889-RY
SUV,Vortex R7,Plasma-A,1250,1.5,302,143,232,172.4,IonGel,5.2,1.1,70.3,42.2,21.1,7.0,2,4.999,0.216,4,0.702,0,4,36.7,115,58,CASE-9-T,4025-05-18,Dr. Calix Renner,commute,automated,auto,Thalos Crossing,Cerebra Ring,MediumBlue,Fuel low. Navigating around debris.,CXS-8560-PA
Sedan,Stratos M2,Ion-A,950,1.2,199,131,174,201.8,PlasmaCell,6.7,1.3,50.9,30.5,15.3,5.1,5,6.484,0.214,2,0.779,0,2,65.3,300,296,CASE-5947-Z,4025-09-05,Tamsin Ryx,commute,automated,auto,Thalos Crossing,Cryon Reach,Linen,Clear path confirmed. Continuing cruise.,CXS-9022-HB
Sedan,Stratos M2,Ion-A,950,1.2,237,134,188,166.5,FusionCore,8.4,1.6,70.5,42.3,21.1,7.1,5,7.761,0.779,2,0.673,1,3,86.8,64,257,CASE-9295-C,4025-12-08,Captain Kael,commute,automated,auto,Cerebra Ring,Cryon Reach,DarkBlue,Fuel low. Navigating around debris.,CXS-6439-XP
Sedan,Stratos M2,Ion-A,950,1.2,236,106,216,103.1,PlasmaCell,6.7,1.3,45.8,27.5,13.7,4.6,6,8.853,0.864,2,0.889,4,0,55.6,120,323,CASE-8727-Y,4025-06-20,Commander Yulo,commute,automated,auto,Orryx Haven,Lunaris Port,DarkSalmon,Re-routing due to unstable path.,CXS-5708-EV
Sedan,Stratos M2,Fusion-B,950,1.2,191,127,294,226.7,IonGel,5.2,1.1,74.9,44.9,22.5,7.5,0,4.277,0.582,0,0.082,4,5,21.7,298,73,CASE-9007-F,4025-01-11,Axel Orov,commute,automated,auto,Thalos Crossing,Vega Spire,LightGray,Power levels nominal. Adjusting trajectory.,CXS-4804-QT
SUV,Vortex R7,Fusion-B,1250,1.5,331,156,165,233.4,FusionCore,8.4,1.6,76.0,45.6,22.8,7.6,4,4.748,0.844,3,0.109,2,4,26.6,358,151,CASE-3470-R,4025-08-12,Marshal Keir,commute,automated,auto,Thalos Crossing,Orryx Haven,Green,Power levels nominal. Adjusting trajectory.,CXS-1359-WJ
Micro,Nimbus X1,Fusion-B,700,0.8,145,97,244,273.0,IonGel,5.2,1.1,71.1,42.7,21.3,7.1,4,2.669,0.793,5,0.645,5,0,27.8,225,17,CASE-6118-O,4025-04-20,Commander Yulo,commute,automated,auto,Lunaris Port,Helion Hub,Tomato,Re-routing due to unstable path.,CXS-6977-OD
Micro,Nimbus X1,Ion-A,700,0.8,128,85,183,249.5,FusionCore,8.4,1.6,47.0,28.2,14.1,4.7,1,8.411,0.842,2,0.458,1,5,65.2,203,285,CASE-3681-C,4025-09-09,Captain Kael,commute,automated,auto,Orryx Haven,Thalos Crossing,MediumSlateBlue,Minor vibration detected. Monitoring systems.,CXS-6992-AS
Sedan,Stratos M2,Plasma-A,950,1.2,230,100,237,124.7,FusionCore,8.4,1.6,54.7,32.8,16.4,5.5,2,6.755,0.403,4,0.84,2,5,36.7,71,23,CASE-3770-S,4025-02-22,Zara Strix,commute,automated,auto,Zenthar Relay,Helion Hub,Indigo,Re-routing due to unstable path.,CXS-1609-AC
SUV,Vortex R7,Plasma-A,1250,1.5,313,147,160,277.5,IonGel,5.2,1.1,45.4,27.2,13.6,4.5,2,7.028,0.667,1,0.369,1,2,8.9,351,188,CASE-964-H,4025-12-24,Zara Strix,commute,automated,auto,Thalos Crossing,Orryx Haven,CornflowerBlue,Minor vibration detected. Monitoring systems.,CXS-9920-BK
Micro,Nimbus X1,Ion-A,700,0.8,142,83,170,138.0,FusionCore,8.4,1.6,44.9,26.9,13.5,4.5,4,2.138,0.163,1,0.797,1,4,0.3,74,66,CASE-8423-H,4025-01-02,Tamsin Ryx,commute,automated,auto,Thalos Crossing,Lunaris Port,LightSeaGreen,Minor vibration detected. Monitoring systems.,CXS-9850-VP
SUV,Vortex R7,Ion-A,1250,1.5,272,147,106,126.4,PlasmaCell,6.7,1.3,54.3,32.6,16.3,5.4,0,4.679,0.16,2,0.11,4,0,65.5,337,266,CASE-8834-E,4025-03-09,Captain Kael,commute,automated,auto,Cryon Reach,Helion Hub,Sienna,Power levels nominal. Adjusting trajectory.,CXS-5941-HZ
SUV,Vortex R7,Fusion-B,1250,1.5,332,141,222,269.5,IonGel,5.2,1.1,57.1,34.3,17.1,5.7,1,3.508,0.584,4,0.453,0,5,10.3,335,333,CASE-6669-G,4025-02-11,Commander Yulo,commute,automated,auto,Vega Spire,Zenthar Relay,DarkGray,Power levels nominal. Adjusting trajectory.,CXS-4522-DV
SUV,Vortex R7,Fusion-B,1250,1.5,307,196,205,167.8,IonGel,5.2,1.1,58.1,34.9,17.4,5.8,3,2.43,0.163,0,0.734,1,4,5.4,287,287,CASE-5804-N,4025-07-11,Elia Vorn,commute,automated,auto,Cerebra Ring,Helion Hub,PaleVioletRed,Re-routing due to unstable path.,CXS-6400-OX
Micro,Nimbus X1,Ion-A,700,0.8,127,106,270,288.2,FusionCore,8.4,1.6,56.9,34.1,17.1,5.7,7,6.796,0.204,1,0.275,3,4,87.7,318,314,CASE-1612-B,4025-02-19,Axel Orov,commute,automated,auto,Lunaris Port,Cryon Reach,PaleGreen,Re-routing due to unstable path.,CXS-1430-XK
Micro,Nimbus X1,Ion-A,700,0.8,179,97,146,154.7,IonGel,5.2,1.1,70.5,42.3,21.1,7.1,5,7.887,0.18,2,0.337,5,2,69.9,290,305,CASE-4073-G,4025-03-19,Dr. Calix Renner,commute,automated,auto,Helion Hub,Orryx Haven,Gold,Fuel low. Navigating around debris.,CXS-2391-RO
Sedan,Stratos M2,Ion-A,950,1.2,199,110,112,234.8,PlasmaCell,6.7,1.3,50.9,30.5,15.3,5.1,7,4.807,0.709,4,0.226,0,0,18.4,108,70,CASE-6912-F,4025-05-07,Commander Yulo,commute,automated,auto,Cerebra Ring,Cryon Reach,LightSeaGreen,Clear path confirmed. Continuing cruise.,CXS-5186-OH
SUV,Vortex R7,Ion-A,1250,1.5,291,147,227,249.4,IonGel,5.2,1.1,47.0,28.2,14.1,4.7,4,8.519,0.123,2,0.577,3,2,10.4,10,166,CASE-7260-Z,4025-09-27,Tamsin Ryx,commute,automated,auto,Cerebra Ring,Zenthar Relay,DarkGreen,Minor vibration detected. Monitoring systems.,CXS-3815-BU
Micro,Nimbus X1,Plasma-A,700,0.8,149,103,211,268.9,IonGel,5.2,1.1,49.7,29.8,14.9,5.0,4,7.806,0.671,1,0.355,5,1,21.3,74,131,CASE-241-C,4025-05-24,Elia Vorn,commute,automated,auto,Cerebra Ring,Zenthar Relay,LavenderBlush,Clear path confirmed. Continuing cruise.,CXS-4232-FN
Sedan,Stratos M2,Fusion-B,950,1.2,257,109,119,135.4,PlasmaCell,6.7,1.3,70.9,42.5,21.3,7.1,5,6.501,0.159,2,0.585,0,2,41.6,19,29,CASE-7886-G,4025-11-21,Commander Yulo,commute,automated,auto,Thalos Crossing,Cryon Reach,PaleGoldenRod,Minor vibration detected. Monitoring systems.,CXS-7041-BF
SUV,Vortex R7,Fusion-B,1250,1.5,259,181,257,218.8,IonGel,5.2,1.1,55.4,33.2,16.6,5.5,7,1.523,0.901,4,0.632,5,3,89.2,268,267,CASE-35-M,4025-10-16,Tamsin Ryx,commute,automated,auto,Lunaris Port,Zenthar Relay,LightGray,Re-routing due to unstable path.,CXS-3600-ZZ
SUV,Vortex R7,Fusion-B,1250,1.5,297,198,199,181.8,FusionCore,8.4,1.6,53.5,32.1,16.1,5.4,8,3.608,0.707,0,0.568,2,2,87.1,357,339,CASE-4673-N,4025-06-04,Captain Kael,commute,automated,auto,Lunaris Port,Thalos Crossing,SlateBlue,Power levels nominal. Adjusting trajectory.,CXS-7421-EG
Sedan,Stratos M2,Fusion-B,950,1.2,256,145,179,211.8,IonGel,5.2,1.1,65.7,39.4,19.7,6.6,6,1.147,0.951,2,0.979,2,0,45.7,276,269,CASE-3566-B,4025-02-21,Marshal Keir,commute,automated,auto,Helion Hub,Thalos Crossing,Yellow,Minor vibration detected. Monitoring systems.,CXS-1618-BX
Micro,Nimbus X1,Fusion-B,700,0.8,141,119,252,175.3,IonGel,5.2,1.1,46.5,27.9,13.9,4.7,3,6.598,0.797,0,0.808,1,2,61.0,292,225,CASE-936-B,4025-07-12,Commander Yulo,commute,automated,auto,Orryx Haven,Cerebra Ring,Silver,Power levels nominal. Adjusting trajectory.,CXS-8564-QQ
SUV,Vortex R7,Ion-A,1250,1.5,298,172,207,293.3,PlasmaCell,6.7,1.3,72.7,43.6,21.8,7.3,5,1.96,0.859,0,0.891,3,0,85.2,113,230,CASE-931-Q,4025-11-16,Axel Orov,commute,automated,auto,Orryx Haven,Thalos Crossing,Cyan,Power levels nominal. Adjusting trajectory.,CXS-6727-FC
Sedan,Stratos M2,Plasma-A,950,1.2,233,103,228,174.8,FusionCore,8.4,1.6,55.4,33.2,16.6,5.5,5,2.211,0.86,1,0.473,0,0,23.0,76,280,CASE-1113-V,4025-06-04,Tamsin Ryx,commute,automated,auto,Vega Spire,Cryon Reach,LavenderBlush,Power levels nominal. Adjusting trajectory.,CXS-9647-MD
SUV,Vortex R7,Plasma-A,1250,1.5,264,189,160,160.2,FusionCore,8.4,1.6,41.9,25.1,12.6,4.2,7,1.151,0.313,2,0.351,1,5,60.1,268,184,CASE-4033-S,4025-02-27,Commander Yulo,commute,automated,auto,Cerebra Ring,Helion Hub,BlueViolet,Power levels nominal. Adjusting trajectory.,CXS-2108-TC
Micro,Nimbus X1,Fusion-B,700,0.8,154,112,241,104.1,PlasmaCell,6.7,1.3,74.9,44.9,22.5,7.5,0,1.585,0.674,4,0.321,4,2,73.2,89,350,CASE-9562-S,4025-05-24,Zara Strix,commute,automated,auto,Lunaris Port,Cerebra Ring,Turquoise,Re-routing due to unstable path.,CXS-8612-KI
Micro,Nimbus X1,Ion-A,700,0.8,150,120,134,112.6,IonGel,5.2,1.1,71.0,42.6,21.3,7.1,3,3.796,0.469,2,0.736,2,0,77.9,169,139,CASE-5147-H,4025-01-26,Axel Orov,commute,automated,auto,Thalos Crossing,Lunaris Port,LightGray,Fuel low. Navigating around debris.,CXS-3039-ME
SUV,Vortex R7,Plasma-A,1250,1.5,305,196,290,187.9,FusionCore,8.4,1.6,78.3,47.0,23.5,7.8,7,1.732,0.505,1,0.312,5,2,27.6,308,218,CASE-4915-O,4025-06-26,Commander Yulo,commute,automated,auto,Helion Hub,Vega Spire,Maroon,Clear path confirmed. Continuing cruise.,CXS-3730-YC
Micro,Nimbus X1,Ion-A,700,0.8,148,102,110,245.4,FusionCore,8.4,1.6,76.5,45.9,22.9,7.7,5,8.298,0.939,4,0.43,1,5,33.0,196,290,CASE-7508-T,4025-11-21,Dr. Calix Renner,commute,automated,auto,Cerebra Ring,Orryx Haven,DarkGreen,Power levels nominal. Adjusting trajectory.,CXS-1530-CR
Micro,Nimbus X1,Ion-A,700,0.8,129,108,195,188.8,FusionCore,8.4,1.6,43.1,25.9,12.9,4.3,3,2.049,0.546,3,0.779,1,4,25.7,251,102,CASE-8288-I,4025-06-21,Captain Kael,commute,automated,auto,Orryx Haven,Helion Hub,DarkSeaGreen,Clear path confirmed. Continuing cruise.,CXS-3009-LC
Sedan,Stratos M2,Ion-A,950,1.2,189,128,282,189.0,IonGel,5.2,1.1,43.5,26.1,13.0,4.4,4,8.77,0.938,2,0.118,1,1,71.1,13,184,CASE-6054-J,4025-09-18,Captain Kael,commute,automated,auto,Helion Hub,Cerebra Ring,DimGray,Power levels nominal. Adjusting trajectory.,CXS-7044-OR
SUV,Vortex R7,Plasma-A,1250,1.5,320,148,122,113.1,PlasmaCell,6.7,1.3,55.9,33.5,16.8,5.6,2,6.76,0.703,4,0.185,3,4,82.0,28,63,CASE-4956-T,4025-10-03,Zara Strix,commute,automated,auto,Thalos Crossing,Zenthar Relay,Wheat,Clear path confirmed. Continuing cruise.,CXS-9488-AV
Sedan,Stratos M2,Plasma-A,950,1.2,218,110,182,286.9,IonGel,5.2,1.1,49.0,29.4,14.7,4.9,7,6.676,0.182,4,0.151,5,4,30.4,288,21,CASE-4905-V,4025-04-21,Elia Vorn,commute,automated,auto,Zenthar Relay,Thalos Crossing,DarkKhaki,Re-routing due to unstable path.,CXS-1464-EI
Sedan,Stratos M2,Ion-A,950,1.2,185,141,167,230.2,PlasmaCell,6.7,1.3,70.7,42.4,21.2,7.1,4,3.663,0.825,2,0.06,3,3,18.4,310,73,CASE-1753-X,4025-11-18,Dr. Calix Renner,commute,automated,auto,Cerebra Ring,Zenthar Relay,DeepSkyBlue,Clear path confirmed. Continuing cruise.,CXS-6121-IJ
Micro,Nimbus X1,Plasma-A,700,0.8,140,102,133,252.1,FusionCore,8.4,1.6,60.6,36.4,18.2,6.1,6,1.846,0.453,1,0.917,4,5,28.1,81,255,CASE-3450-W,4025-02-09,Tamsin Ryx,commute,automated,auto,Vega Spire,Cryon Reach,MediumSpringGreen,Clear path confirmed. Continuing cruise.,CXS-9433-GV
SUV,Vortex R7,Plasma-A,1250,1.5,313,196,227,104.6,FusionCore,8.4,1.6,77.8,46.7,23.3,7.8,0,6.511,0.701,0,0.44,5,2,68.7,187,23,CASE-4325-Q,4025-06-02,Tamsin Ryx,commute,automated,auto,Thalos Crossing,Vega Spire,SlateGray,Minor vibration detected. Monitoring systems.,CXS-7563-IB
Sedan,Stratos M2,Ion-A,950,1.2,252,135,192,210.6,IonGel,5.2,1.1,42.9,25.7,12.9,4.3,0,1.856,0.993,2,0.2,4,0,4.1,70,170,CASE-6939-I,4025-11-20,Axel Orov,commute,automated,auto,Thalos Crossing,Cerebra Ring,Brown,Minor vibration detected. Monitoring systems.,CXS-8761-AK
Micro,Nimbus X1,Ion-A,700,0.8,149,89,231,128.0,PlasmaCell,6.7,1.3,77.3,46.4,23.2,7.7,4,5.573,0.542,3,0.374,3,4,27.7,352,322,CASE-4291-F,4025-12-27,Zara Strix,commute,automated,auto,Helion Hub,Vega Spire,Red,Minor vibration detected. Monitoring systems.,CXS-1436-RW
Micro,Nimbus X1,Fusion-B,700,0.8,150,96,300,294.4,PlasmaCell,6.7,1.3,63.1,37.9,18.9,6.3,8,6.715,0.232,0,0.687,3,2,37.7,211,353,CASE-9189-A,4025-08-06,Dr. Calix Renner,commute,automated,auto,Cryon Reach,Cerebra Ring,DarkOliveGreen,Minor vibration detected. Monitoring systems.,CXS-4340-CW
SUV,Vortex R7,Ion-A,1250,1.5,314,189,220,274.6,PlasmaCell,6.7,1.3,69.4,41.6,20.8,6.9,5,5.271,0.958,3,0.356,5,5,57.9,354,135,CASE-8938-B,4025-04-18,Marshal Keir,commute,automated,auto,Lunaris Port,Cerebra Ring,NavajoWhite,Minor vibration detected. Monitoring systems.,CXS-8932-SR
Sedan,Stratos M2,Ion-A,950,1.2,211,117,176,145.0,PlasmaCell,6.7,1.3,78.9,47.3,23.7,7.9,6,4.248,0.809,0,0.553,3,2,85.9,74,148,CASE-7041-E,4025-12-23,Axel Orov,commute,automated,auto,Zenthar Relay,Thalos Crossing,BlueViolet,Fuel low. Navigating around debris.,CXS-1689-JL
SUV,Vortex R7,Ion-A,1250,1.5,260,162,267,151.3,FusionCore,8.4,1.6,59.2,35.5,17.8,5.9,1,7.55,0.154,1,0.05,5,3,9.0,70,2,CASE-5862-G,4025-12-09,Axel Orov,commute,automated,auto,Cryon Reach,Thalos Crossing,LightBlue,Minor vibration detected. Monitoring systems.,CXS-3587-VD
