space_weight_kg,thrust_kN,power_capacity_kWh,engine_class,FOV_Threat_Count,Min_Distance_In_FOV,FOV_Density,FOV_Front_Cone_Threat_Count,Angle_Weighted_Density,Threats_Left_Sector,Threats_Right_Sector,Zone,Average_Threat_Angle_Offset,DangerScore,DangerLabel,FuelUsed,fuel_cost,total_cost,CurrentHeading,PredictedHeading,TurnDirection,AdjustedForThreats,AngleDensity,TurnAngle,MomentumBias,ThreatsLeft,ThreatsRight,Reason,TripScore,Evaluation,Comments
1962,59.0,228.0,Ion-A,4,3.39,0.89,4,0.42,4,3,green,19.1,0.499,Medium,1.119,5.59,5.59,276,313,right,True,0.42,37,left,4,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.673,Good,Safe with minor inefficiencies
2130,61.6,256.8,Fusion-B,6,2.81,0.38,5,1.0,5,2,yellow,58.5,0.761,High,2.083,10.42,10.42,264,324,right,True,1.0,60,right,5,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.479,Risky,Moderate danger or cost detected
1523,57.5,222.8,Ion-A,3,2.09,0.3,0,0.34,2,0,red,52.9,0.457,Medium,0.898,4.49,4.49,283,283,none,False,0.34,0,left,2,0,No threats detected,0.781,Good,Safe with minor inefficiencies
2002,49.2,175.2,Ion-A,0,1.64,0.67,0,0.23,5,5,green,81.5,0.228,Low,1.339,6.7,6.7,117,117,none,False,0.23,0,left,5,5,No threats detected,0.855,Excellent,Efficient and low-risk path
1432,74.4,151.3,Fusion-B,1,3.14,0.7,4,0.21,1,2,red,11.9,0.493,Medium,1.211,6.06,6.06,248,220,left,True,0.21,28,left,1,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.692,Good,Safe with minor inefficiencies
1952,77.4,231.4,Ion-A,7,5.25,0.81,1,0.81,3,3,green,17.1,0.588,Medium,1.232,6.16,6.16,48,356,left,True,0.81,52,left,3,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.6,Good,Safe with minor inefficiencies
2074,43.9,209.0,Fusion-B,5,4.81,0.52,3,0.73,3,3,red,60.6,0.7,Medium,3.149,15.75,15.75,27,338,left,True,0.73,49,left,3,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.485,Risky,Moderate danger or cost detected
1462,79.4,155.7,Fusion-B,5,4.62,0.41,0,0.86,1,1,green,22.4,0.447,Medium,1.383,6.92,6.92,274,274,none,False,0.86,0,right,1,1,No threats detected,0.766,Good,Safe with minor inefficiencies
1543,47.6,211.8,Fusion-B,2,4.8,0.35,2,0.25,3,1,green,83.1,0.228,Low,1.596,7.98,7.98,226,256,right,True,0.25,30,right,3,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.778,Good,Safe with minor inefficiencies
1500,57.7,277.8,Ion-A,8,5.95,0.15,0,1.0,0,1,green,75.2,0.494,Medium,0.88,4.4,4.4,208,208,none,False,1.0,0,right,0,1,No threats detected,0.767,Good,Safe with minor inefficiencies
1892,78.8,288.2,Ion-A,6,8.64,0.25,0,0.49,1,3,green,19.2,0.384,Low,1.029,5.14,5.14,199,199,none,False,0.49,0,,1,3,No threats detected,0.805,Excellent,Efficient and low-risk path
1865,56.0,149.4,Fusion-B,6,4.41,0.99,5,0.27,5,4,red,70.6,0.774,High,2.046,10.23,10.23,249,280,right,True,0.27,31,left,5,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.54,Risky,Moderate danger or cost detected
1594,58.2,207.7,Fusion-B,3,9.62,1.0,0,0.56,4,5,red,64.7,0.491,Medium,1.321,6.6,6.6,31,31,none,False,0.56,0,,4,5,No threats detected,0.751,Good,Safe with minor inefficiencies
1458,46.2,187.5,Ion-A,7,9.72,0.62,4,0.54,4,1,green,67.3,0.513,Medium,1.363,6.81,6.81,260,302,right,True,0.54,42,left,4,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.647,Good,Safe with minor inefficiencies
1590,42.3,233.5,Ion-A,1,5.53,0.87,5,0.16,1,3,green,86.5,0.284,Low,1.547,7.73,7.73,291,265,left,True,0.16,26,left,1,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.767,Good,Safe with minor inefficiencies
1992,43.2,169.7,Plasma-A,0,6.36,0.71,4,0.24,0,3,red,10.8,0.385,Low,3.413,17.06,17.06,298,268,left,True,0.24,30,right,0,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.643,Good,Safe with minor inefficiencies
1935,75.6,179.4,Fusion-B,4,6.35,0.66,1,0.42,5,5,yellow,52.5,0.434,Medium,1.677,8.38,8.38,122,159,right,True,0.42,37,,5,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.677,Good,Safe with minor inefficiencies
1805,77.4,172.7,Ion-A,4,7.45,0.31,3,0.4,2,0,green,60.5,0.339,Low,0.95,4.75,4.75,234,270,right,True,0.4,36,right,2,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.746,Good,Safe with minor inefficiencies
1976,52.0,190.6,Ion-A,1,7.77,0.17,4,0.46,1,4,yellow,89.9,0.283,Low,1.166,5.83,5.83,67,29,left,True,0.46,38,,1,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.756,Good,Safe with minor inefficiencies
1470,79.8,151.7,Ion-A,5,2.92,0.34,2,0.93,1,3,red,79.3,0.702,Medium,0.983,4.92,4.92,154,97,left,True,0.93,57,right,1,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.553,Risky,Moderate danger or cost detected
2069,75.2,199.1,Plasma-A,0,2.42,0.85,5,0.7,4,2,red,55.1,0.602,Medium,2.312,11.56,11.56,53,101,right,True,0.7,48,left,4,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.56,Risky,Moderate danger or cost detected
1670,79.5,244.6,Ion-A,1,1.07,0.84,5,0.3,4,1,yellow,59.7,0.602,Medium,1.108,5.54,5.54,144,176,right,True,0.3,32,right,4,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.644,Good,Safe with minor inefficiencies
1615,77.6,161.5,Plasma-A,5,2.04,0.2,1,0.55,5,5,yellow,24.5,0.566,Medium,1.902,9.51,9.51,258,300,right,True,0.55,42,right,5,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.604,Good,Safe with minor inefficiencies
1657,64.2,254.8,Ion-A,1,2.83,0.67,5,0.26,3,2,green,44.0,0.344,Low,0.742,3.71,3.71,1,31,right,True,0.26,30,,3,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.766,Good,Safe with minor inefficiencies
2189,76.2,275.4,Ion-A,4,1.83,0.48,1,0.28,5,3,red,0.3,0.646,Medium,1.345,6.72,6.72,218,249,right,True,0.28,31,right,5,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.619,Good,Safe with minor inefficiencies
1409,70.8,241.9,Ion-A,1,3.36,0.77,5,0.55,1,4,green,38.5,0.395,Low,0.655,3.28,3.28,189,147,left,True,0.55,42,right,1,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.722,Good,Safe with minor inefficiencies
1965,40.4,152.0,Ion-A,6,8.95,0.91,1,0.55,0,2,yellow,75.1,0.55,Medium,2.576,12.88,12.88,20,338,left,True,0.55,42,,0,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.584,Risky,Moderate danger or cost detected
1615,63.3,163.7,Plasma-A,3,2.15,0.38,5,0.9,0,2,red,71.7,0.735,Medium,1.618,8.09,8.09,208,152,left,True,0.9,56,right,0,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.517,Risky,Moderate danger or cost detected
2167,74.4,283.8,Ion-A,3,2.89,0.32,1,0.1,1,3,green,70.2,0.252,Low,1.069,5.34,5.34,91,67,left,True,0.1,24,,1,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.803,Excellent,Efficient and low-risk path
1821,75.4,205.0,Plasma-A,3,6.59,0.24,2,0.93,1,5,green,77.8,0.348,Low,1.703,8.52,8.52,195,138,left,True,0.93,57,left,1,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.666,Good,Safe with minor inefficiencies
1881,79.0,269.7,Ion-A,3,8.93,0.12,3,0.74,2,2,green,29.9,0.352,Low,1.028,5.14,5.14,114,64,left,True,0.74,50,left,2,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.707,Good,Safe with minor inefficiencies
2075,77.2,268.4,Ion-A,6,8.78,0.83,2,0.27,2,0,yellow,70.9,0.516,Medium,1.304,6.52,6.52,179,210,right,True,0.27,31,right,2,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.673,Good,Safe with minor inefficiencies
1809,44.3,279.5,Plasma-A,8,8.73,0.3,2,0.82,0,0,yellow,41.4,0.687,Medium,3.49,17.45,17.45,91,144,right,True,0.82,53,right,0,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.468,Risky,Moderate danger or cost detected
1671,52.2,267.3,Ion-A,1,3.05,0.12,4,0.19,3,2,red,29.5,0.376,Low,0.978,4.89,4.89,160,188,right,True,0.19,28,right,3,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.748,Good,Safe with minor inefficiencies
2020,74.6,294.7,Plasma-A,1,3.51,0.68,3,0.4,4,1,yellow,88.3,0.351,Low,1.858,9.29,9.29,22,58,right,True,0.4,36,right,4,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.705,Good,Safe with minor inefficiencies
1401,61.4,290.3,Plasma-A,8,2.04,0.97,5,0.18,5,5,red,86.6,0.91,High,1.785,8.92,8.92,343,316,left,True,0.18,27,left,5,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.505,Risky,Moderate danger or cost detected
1772,50.6,157.3,Fusion-B,1,4.91,0.76,5,0.31,2,4,yellow,54.6,0.402,Medium,1.904,9.52,9.52,339,307,left,True,0.31,32,left,2,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.692,Good,Safe with minor inefficiencies
2137,60.5,201.6,Fusion-B,8,6.19,0.33,2,0.71,5,3,yellow,0.2,0.737,Medium,1.696,8.48,8.48,206,254,right,True,0.71,48,,5,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.531,Risky,Moderate danger or cost detected
1967,77.0,226.2,Ion-A,3,7.47,0.77,3,0.67,5,3,red,32.8,0.624,Medium,1.23,6.15,6.15,89,136,right,True,0.67,47,right,5,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.597,Risky,Moderate danger or cost detected
1982,42.8,246.3,Fusion-B,6,3.97,0.38,4,0.85,0,2,yellow,64.8,0.668,Medium,3.209,16.05,16.05,107,53,left,True,0.85,54,right,0,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.484,Risky,Moderate danger or cost detected
1993,52.0,189.5,Plasma-A,5,4.68,0.46,3,0.3,3,3,red,11.5,0.65,Medium,2.621,13.11,13.11,109,141,right,True,0.3,32,right,3,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.564,Risky,Moderate danger or cost detected
1884,56.8,290.5,Plasma-A,2,7.1,0.91,5,0.62,0,2,red,27.1,0.653,Medium,2.102,10.51,10.51,339,294,left,True,0.62,45,right,0,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.555,Risky,Moderate danger or cost detected
1743,61.9,140.1,Ion-A,3,3.58,0.49,5,0.58,2,1,green,58.9,0.424,Medium,0.951,4.75,4.75,75,118,right,True,0.58,43,left,2,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.697,Good,Safe with minor inefficiencies
1447,58.6,210.7,Ion-A,7,2.92,0.53,4,0.9,0,3,yellow,71.6,0.757,High,1.04,5.2,5.2,322,266,left,True,0.9,56,right,0,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.531,Risky,Moderate danger or cost detected
1599,46.8,153.6,Plasma-A,6,5.64,0.67,3,0.34,3,1,green,73.7,0.439,Medium,2.689,13.45,13.45,335,9,right,True,0.34,34,left,3,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.641,Good,Safe with minor inefficiencies
2168,70.0,247.6,Ion-A,6,3.02,0.28,1,0.02,1,5,red,22.0,0.565,Medium,1.197,5.99,5.99,237,216,left,True,0.02,21,left,1,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.679,Good,Safe with minor inefficiencies
1970,59.0,276.0,Ion-A,1,1.66,0.47,3,0.63,1,3,red,17.5,0.622,Medium,1.124,5.62,5.62,271,226,left,True,0.63,45,right,1,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.606,Good,Safe with minor inefficiencies
2009,67.9,219.1,Fusion-B,7,3.2,0.69,4,0.01,5,4,yellow,67.6,0.601,Medium,1.553,7.76,7.76,280,300,right,True,0.01,20,right,5,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.653,Good,Safe with minor inefficiencies
1562,70.8,157.1,Plasma-A,7,4.83,0.26,3,0.96,2,1,red,46.6,0.849,High,2.022,10.11,10.11,141,199,right,True,0.96,58,right,2,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.451,Risky,Moderate danger or cost detected
1896,42.0,179.9,Plasma-A,3,8.64,0.51,2,0.8,3,0,red,60.1,0.543,Medium,4.186,20.93,20.93,146,198,right,True,0.8,52,left,3,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.5,Risky,Moderate danger or cost detected
1678,79.5,235.3,Fusion-B,5,9.55,0.9,4,0.61,0,1,green,64.7,0.483,Medium,1.591,7.96,7.96,118,74,left,True,0.61,44,right,0,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.645,Good,Safe with minor inefficiencies
2110,60.2,272.9,Ion-A,3,5.93,0.91,0,0.74,3,3,yellow,42.7,0.471,Medium,1.178,5.89,5.89,277,277,none,False,0.74,0,right,3,3,No threats detected,0.764,Good,Safe with minor inefficiencies
1825,50.4,179.6,Ion-A,3,6.74,0.79,3,0.52,3,4,red,56.4,0.567,Medium,1.385,6.92,6.92,10,329,left,True,0.52,41,right,3,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.627,Good,Safe with minor inefficiencies
1789,51.0,152.4,Fusion-B,0,3.57,0.34,2,0.32,2,3,yellow,48.6,0.243,Low,1.574,7.87,7.87,275,242,left,True,0.32,33,right,2,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.767,Good,Safe with minor inefficiencies
2017,45.5,177.0,Ion-A,7,7.25,0.74,1,0.06,2,3,yellow,36.7,0.525,Medium,1.959,9.79,9.79,14,352,left,True,0.06,22,right,2,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.663,Good,Safe with minor inefficiencies
1744,61.7,206.5,Plasma-A,6,2.86,0.48,5,0.9,1,3,green,52.6,0.61,Medium,1.771,8.86,8.86,318,262,left,True,0.9,56,right,1,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.561,Risky,Moderate danger or cost detected
1427,67.8,277.1,Fusion-B,0,7.89,0.44,0,0.01,5,3,green,31.7,0.08,Low,0.919,4.6,4.6,236,236,none,False,0.01,0,left,5,3,No threats detected,0.931,Excellent,Efficient and low-risk path
1451,70.1,276.6,Fusion-B,6,9.58,0.48,2,0.75,1,3,yellow,49.2,0.588,Medium,1.146,5.73,5.73,172,122,left,True,0.75,50,right,1,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.608,Good,Safe with minor inefficiencies
1684,64.1,175.3,Fusion-B,4,2.97,0.49,0,0.03,3,0,red,30.3,0.443,Medium,1.293,6.46,6.46,276,276,none,False,0.03,0,left,3,0,No threats detected,0.771,Good,Safe with minor inefficiencies
1758,67.2,204.7,Ion-A,1,2.49,0.52,5,0.13,0,0,green,56.0,0.308,Low,0.789,3.95,3.95,102,77,left,True,0.13,25,left,0,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.79,Good,Safe with minor inefficiencies
2036,41.1,203.0,Ion-A,3,6.08,0.12,1,0.64,3,5,green,12.2,0.312,Low,2.13,10.65,10.65,288,242,left,True,0.64,46,left,3,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.688,Good,Safe with minor inefficiencies
1876,58.5,148.0,Plasma-A,4,4.41,0.29,2,0.33,1,4,red,68.5,0.478,Medium,2.008,10.04,10.04,58,25,left,True,0.33,33,left,1,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.655,Good,Safe with minor inefficiencies
1718,55.2,260.3,Ion-A,0,8.49,0.33,2,0.08,4,5,yellow,1.7,0.162,Low,0.902,4.51,4.51,203,180,left,True,0.08,23,left,4,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.848,Excellent,Efficient and low-risk path
1477,61.6,300.0,Plasma-A,3,4.15,0.69,0,0.78,5,2,red,58.7,0.544,Medium,1.652,8.26,8.26,307,307,none,False,0.78,0,left,5,2,No threats detected,0.716,Good,Safe with minor inefficiencies
1979,70.2,291.9,Ion-A,5,2.79,0.12,4,0.15,3,5,yellow,11.4,0.53,Medium,1.095,5.47,5.47,35,9,left,True,0.15,26,right,3,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.686,Good,Safe with minor inefficiencies
2063,66.8,230.2,Fusion-B,0,2.96,0.73,3,0.77,3,0,yellow,15.1,0.461,Medium,1.585,7.92,7.92,185,236,right,True,0.77,51,right,3,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.639,Good,Safe with minor inefficiencies
2124,64.3,259.7,Ion-A,6,2.03,0.84,1,0.96,5,4,red,9.7,0.984,High,1.426,7.13,7.13,138,196,right,True,0.96,58,right,5,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.42,Risky,Moderate danger or cost detected
1951,41.0,189.9,Fusion-B,7,7.1,0.96,3,0.4,5,4,yellow,64.4,0.646,Medium,3.521,17.61,17.61,165,201,right,True,0.4,36,left,5,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.521,Risky,Moderate danger or cost detected
1488,43.0,250.5,Fusion-B,7,6.65,0.19,1,0.77,3,4,red,76.5,0.664,Medium,2.381,11.9,11.9,342,291,left,True,0.77,51,right,3,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.526,Risky,Moderate danger or cost detected
1744,64.0,159.4,Ion-A,7,9.85,0.8,2,0.35,1,3,green,38.6,0.488,Medium,0.938,4.69,4.69,181,147,left,True,0.35,34,,1,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.692,Good,Safe with minor inefficiencies
1748,54.8,221.0,Fusion-B,4,4.07,0.86,4,0.82,0,4,green,9.5,0.564,Medium,1.593,7.96,7.96,43,350,left,True,0.82,53,left,0,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.593,Risky,Moderate danger or cost detected
2137,78.4,241.7,Fusion-B,7,8.46,0.74,4,0.44,1,5,yellow,66.0,0.643,Medium,1.973,9.87,9.87,330,292,left,True,0.44,38,right,1,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.579,Risky,Moderate danger or cost detected
1858,78.6,183.2,Ion-A,1,8.27,0.58,2,0.48,1,3,red,39.2,0.383,Low,1.005,5.02,5.02,124,85,left,True,0.48,39,,1,3,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.72,Good,Safe with minor inefficiencies
2079,69.2,182.9,Plasma-A,5,8.67,0.85,3,0.09,4,4,yellow,79.3,0.456,Medium,2.113,10.56,10.56,217,241,right,True,0.09,24,right,4,4,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=right)",0.68,Good,Safe with minor inefficiencies
1738,49.8,214.4,Fusion-B,7,6.49,0.44,2,0.03,2,2,green,76.6,0.375,Low,1.614,8.07,8.07,61,40,left,True,0.03,21,left,2,2,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.739,Good,Safe with minor inefficiencies
1723,47.3,173.9,Ion-A,8,8.18,0.41,5,0.88,1,1,green,63.1,0.612,Medium,1.52,7.6,7.6,247,302,right,True,0.88,55,,1,1,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=None)",0.572,Risky,Moderate danger or cost detected
2141,62.2,222.7,Plasma-A,8,2.72,0.32,4,0.41,2,0,green,50.0,0.574,Medium,2.163,10.81,10.81,151,187,right,True,0.41,36,left,2,0,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.604,Good,Safe with minor inefficiencies
1769,49.6,216.2,Ion-A,4,7.41,0.5,0,0.02,5,4,green,26.5,0.251,Low,1.161,5.8,5.8,140,140,none,False,0.02,0,left,5,4,No threats detected,0.853,Excellent,Efficient and low-risk path
1455,56.2,178.9,Plasma-A,4,6.98,0.43,5,0.55,1,5,yellow,30.9,0.557,Medium,1.651,8.26,8.26,52,10,left,True,0.55,42,left,1,5,"Threats ahead — adjusted based on density, sector bias, and momentum (bias=left)",0.618,Good,Safe with minor inefficiencies
