car_type,earth_weight_kg,space_weight_kg,thrust_kN,power_capacity_kWh,engine_class
Coupe,1244,1860,35.8,144.1,Ion-B
Transport,2461,3694,89.2,327.9,Plasma-A
Micro,915,1374,25.0,182.5280644481887,Ion-A
SUV,1876,2811,73.6,233.2,Fusion-C
Coupe,1257,1886,38.2,116.9,Ion-B
Micro,939,1410,33.7,104.4,Ion-A
Transport,2306,3464,103.4,277.2,Plasma-A
Micro,964,1445,25.7,83.9,Ion-A
Micro,1026,1549,24.6,107.3,Ion-A
Coupe,1303,1964,44.8,139.3,Ion-B
Transport,2338,3513,97.7,340.8,Plasma-A
Sedan,1491,2240,55.8,137.3,Fusion-B
Sedan,1592,2380,53.1,164.3,Fusion-B
Micro,1082,1628,32.4,102.7,Ion-A
SUV,1951,2934,81.1,182.5280644481887,Fusion-C
Transport,2232,3357,100.0,268.3,Plasma-A
SUV,2081,3124,67.0,182.5280644481887,Fusion-C
Coupe,1347,2020,38.7,127.2,Ion-B
Micro,1069,1606,27.4,92.6,Ion-A
Sedan,1435,2157,52.1,201.7,Fusion-B
SUV,2018,3017,56.8,203.2,Fusion-C
SUV,1875,2814,67.0,210.1,Fusion-C
Micro,979,1466,23.9,115.7,Ion-A
Coupe,1371,2053,32.2,129.4,Ion-B
Coupe,1269,1913,39.7,123.1,Ion-B
Transport,2791,4194,101.3,331.6,Plasma-A
Transport,2598,3901,83.4,296.4,Plasma-A
Micro,920,1384,19.2,113.0,Ion-A
Sedan,1520,2276,53.3,156.6,Fusion-B
SUV,1898,2843,60.0,182.5280644481887,Fusion-C
SUV,2043,3067,70.5,203.0,Fusion-C
Micro,979,1476,21.8,95.5,Ion-A
Coupe,1293,1935,37.6,182.5280644481887,Ion-B
Coupe,1255,1892,44.7,109.6,Ion-B
Coupe,1297,1936,37.6,134.1,Ion-B
Micro,1095,1633,24.6,119.8,Ion-A
Sedan,1450,2168,49.3,170.0,Fusion-B
SUV,2145,3209,76.3,244.0,Fusion-C
SUV,1994,2991,79.1,177.5,Fusion-C
Coupe,1365,2039,42.5,143.2,Ion-B
SUV,2189,3274,65.6,189.3,Fusion-C
SUV,1994,2998,63.8,223.1,Fusion-C
SUV,2196,3288,55.4,182.5,Fusion-C
Coupe,1392,2093,36.3,122.3,Ion-B
Micro,1079,1621,23.4,74.0,Ion-A
Micro,999,1498,25.9,110.6,Ion-A
Transport,2516,3782,92.1,321.0,Plasma-A
Coupe,1356,2032,36.1,122.8,Ion-B
SUV,1982,2974,67.4,196.4,Fusion-C
Micro,952,1432,27.4,108.8,Ion-A
Transport,2398,3587,89.5,284.9,Plasma-A
Sedan,1553,2333,43.1,183.9,Fusion-B
SUV,2072,3104,56.9,220.0,Fusion-C
Coupe,1202,1795,34.3,136.0,Ion-B
SUV,1973,2953,66.4,229.3,Fusion-C
Coupe,1396,2099,33.7,104.6,Ion-B
SUV,1951,2919,68.8,189.2,Fusion-C
SUV,2062,3087,57.9,234.5,Fusion-C
Coupe,1384,2071,38.4,130.3,Ion-B
Transport,2701,4052,97.7,270.2,Plasma-A
Sedan,1528,2289,47.2,149.8,Fusion-B
Coupe,1224,1836,37.9,133.5,Ion-B
Micro,1010,1512,28.3,87.9,Ion-A
Sedan,1500,2253,50.1,159.7,Fusion-B
Transport,2629,3949,109.6,335.9,Plasma-A
Micro,941,1417,23.2,104.3,Ion-A
SUV,2169,3245,59.8,214.0,Fusion-C
Sedan,1560,2332,50.9,173.6,Fusion-B
SUV,1804,2711,61.9,206.1,Fusion-C
Sedan,1480,2223,50.1,167.8,Fusion-B
Coupe,1237,1850,35.7,128.6,Ion-B
Sedan,1497,2250,55.2,202.2,Fusion-B
Sedan,1464,2202,57.0,157.1,Fusion-B
Sedan,1459,2191,42.0,170.2,Fusion-B
Coupe,1368,2044,36.6,115.3,Ion-B
Coupe,1242,1864,34.9,124.4,Ion-B
Micro,900,1355,31.6,117.7,Ion-A
SUV,2060,3095,76.1,182.5280644481887,Fusion-C
Transport,2556,3835,97.8,182.5280644481887,Plasma-A
Coupe,1393,2081,39.1,146.7,Ion-B
Sedan,1498,2243,57.8,172.1,Fusion-B
Transport,2519,3782,109.6,300.3,Plasma-A
Sedan,1585,2371,60.2,172.1,Fusion-B
Coupe,1302,1963,32.6,125.3,Ion-B
Micro,1092,1641,27.4,106.5,Ion-A
Sedan,1459,2191,58.6,170.0,Fusion-B
Sedan,1521,2278,45.5,189.1,Fusion-B
SUV,2187,3287,53.7,248.4,Fusion-C
Micro,963,1449,34.4,97.7,Ion-A
Coupe,1325,1993,37.6,132.2,Ion-B
Transport,2250,3367,88.6,182.5280644481887,Plasma-A
Micro,970,1452,27.2,114.6,Ion-A
Coupe,1239,1851,35.6,110.0,Ion-B
Coupe,1388,2087,29.6,114.4,Ion-B
SUV,2169,3251,58.7,213.5,Fusion-C
Transport,2203,3308,110.3,317.1,Plasma-A
SUV,1971,2954,67.0,195.2,Fusion-C
Micro,901,1352,26.8,91.7,Ion-A
SUV,1835,2760,61.1,235.9,Fusion-C
Sedan,1572,2360,53.4,196.6,Fusion-B
SUV,1881,2822,66.8,217.5,Fusion-C
SUV,2186,3270,61.4,213.2,Fusion-C
Micro,1082,1626,29.9,90.4,Ion-A
Micro,897,1342,33.2,93.4,Ion-A
Transport,2212,3324,109.5,357.3,Plasma-A
Coupe,1305,1956,31.8,106.8,Ion-B
Sedan,1494,2237,50.1,142.3,Fusion-B
Micro,904,1358,22.6,115.9,Ion-A
Micro,926,1393,29.9,86.8,Ion-A
Micro,997,1505,29.4,97.4,Ion-A
SUV,2118,3170,73.2,256.0,Fusion-C
SUV,1925,2892,68.4,207.0,Fusion-C
Sedan,1563,2343,43.7,190.6,Fusion-B
Coupe,1371,2048,30.0,130.2,Ion-B
Transport,2412,3614,117.2,327.9,Plasma-A
Micro,1010,1512,36.2,115.8,Ion-A
Transport,2672,4015,97.7,363.7,Plasma-A
Transport,2249,3369,84.2,256.7,Plasma-A
SUV,2109,3158,80.3,179.2,Fusion-C
SUV,2153,3232,76.1,237.8,Fusion-C
Micro,975,1468,32.4,112.9,Ion-A
Micro,983,1478,21.5,103.0,Ion-A
Micro,965,1454,27.4,108.9,Ion-A
Transport,2378,3576,105.7,324.0,Plasma-A
Sedan,1481,2231,60.1,141.4,Fusion-B
Micro,1092,1644,18.6,105.4,Ion-A
SUV,2014,3022,71.6,230.9,Fusion-C
SUV,1833,2745,73.4,190.8,Fusion-C
Transport,2393,3595,91.9,251.8,Plasma-A
SUV,1873,2810,67.0,233.7,Fusion-C
Micro,1059,1597,32.8,105.3,Ion-A
Micro,900,1346,25.8,84.0,Ion-A
SUV,1993,2984,67.0,223.4,Fusion-C
Micro,1082,1626,23.6,123.0,Ion-A
Micro,1072,1617,21.2,115.9,Ion-A
Sedan,1570,2360,51.5,163.0,Fusion-B
Sedan,1427,2139,50.1,202.6,Fusion-B
SUV,1862,2787,64.4,228.1,Fusion-C
Sedan,1558,2330,50.1,140.4,Fusion-B
Sedan,1407,2118,54.4,173.4,Fusion-B
SUV,1959,2940,60.4,190.9,Fusion-C
Coupe,1285,1934,41.3,133.3,Ion-B
Transport,2362,3540,103.6,293.8,Plasma-A
Sedan,1518,2281,41.0,158.3,Fusion-B
Coupe,1225,1842,33.8,103.6,Ion-B
Transport,2446,3667,76.1,258.0,Plasma-A
SUV,2130,3187,69.8,183.5,Fusion-C
Transport,2605,3898,85.0,328.6,Plasma-A
Transport,2403,3604,114.9,278.0,Plasma-A
SUV,1855,2774,57.3,182.5280644481887,Fusion-C
Micro,948,1430,29.0,90.6,Ion-A
Sedan,1411,2108,45.2,139.8,Fusion-B
SUV,2007,3005,75.6,216.8,Fusion-C
Transport,2202,3295,79.1,253.2,Plasma-A
SUV,1895,2844,65.4,195.8,Fusion-C
Sedan,1528,2296,42.8,147.8,Fusion-B
Transport,2643,3963,99.0,299.6,Plasma-A
Micro,1068,1609,24.5,102.0,Ion-A
Micro,997,1498,25.6,75.7,Ion-A
Coupe,1243,1865,31.7,114.3,Ion-B
Transport,2259,3381,104.3,305.5,Plasma-A
Sedan,1569,2353,53.1,180.4,Fusion-B
Coupe,1260,1887,34.8,116.4,Ion-B
Coupe,1232,1844,36.3,182.5280644481887,Ion-B
SUV,1844,2761,60.0,229.5,Fusion-C
Micro,1046,1575,31.4,106.8,Ion-A
Sedan,1596,2403,50.1,168.0,Fusion-B
SUV,2046,3069,71.2,201.2,Fusion-C
Sedan,1595,2387,45.2,166.0,Fusion-B
Micro,1031,1553,35.3,96.8,Ion-A
Micro,903,1354,25.9,106.6,Ion-A
Micro,909,1358,33.8,89.4,Ion-A
Sedan,1509,2271,56.0,175.5,Fusion-B
Coupe,1227,1832,37.2,106.3,Ion-B
Micro,950,1417,26.3,123.0,Ion-A
Sedan,1450,2166,40.5,194.2,Fusion-B
Transport,2271,3415,82.4,273.5,Plasma-A
SUV,2136,3212,66.3,209.7,Fusion-C
Micro,908,1353,27.4,106.5,Ion-A
Transport,2532,3805,82.0,353.5,Plasma-A
Coupe,1364,2037,39.2,126.4,Ion-B
Transport,2480,3719,98.2,356.6,Plasma-A
SUV,2139,3201,56.7,228.9,Fusion-C
SUV,1974,2967,64.0,182.5280644481887,Fusion-C
Micro,1037,1562,33.6,90.4,Ion-A
SUV,2189,3283,64.3,248.3,Fusion-C
Micro,1026,1529,23.5,88.4,Ion-A
Sedan,1531,2300,54.8,176.1,Fusion-B
Coupe,1353,2039,36.6,138.7,Ion-B
SUV,2073,3118,70.2,226.3,Fusion-C
SUV,1851,2779,54.7,182.5280644481887,Fusion-C
Micro,1060,1596,22.0,116.2,Ion-A
Transport,2406,3601,97.7,299.4,Plasma-A
SUV,2088,3133,64.2,237.1,Fusion-C
Transport,2545,3825,79.6,182.5280644481887,Plasma-A
SUV,1977,2966,64.0,177.6,Fusion-C
Micro,1007,1505,27.6,80.1,Ion-A
SUV,1935,2905,61.0,228.3,Fusion-C
SUV,1884,2831,77.9,220.1,Fusion-C
Micro,1026,1538,27.4,79.9,Ion-A
Coupe,1338,2008,38.0,129.4,Ion-B
SUV,2086,3127,67.0,201.6,Fusion-C
Sedan,1455,2190,43.6,197.8,Fusion-B
Coupe,1318,1979,40.6,145.5,Ion-B
Sedan,1458,2181,43.3,198.9,Fusion-B
Micro,956,1426,30.0,85.4,Ion-A
Sedan,1453,2175,50.1,203.0,Fusion-B
Sedan,1575,2361,54.9,197.3,Fusion-B
Transport,2393,3598,80.3,265.3,Plasma-A
Transport,2199,3293,98.2,352.5,Plasma-A
Transport,2239,3357,81.7,322.4,Plasma-A
SUV,1865,2795,75.3,179.7,Fusion-C
Micro,1030,1545,21.7,100.8,Ion-A
Transport,2502,3745,85.6,182.5280644481887,Plasma-A
Coupe,1266,1897,43.5,120.3,Ion-B
SUV,2194,3282,76.4,222.6,Fusion-C
Micro,1069,1603,32.3,110.6,Ion-A
Sedan,1490,2229,53.7,206.6,Fusion-B
Sedan,1561,2335,44.8,172.4,Fusion-B
Micro,1042,1573,27.3,91.7,Ion-A
Transport,2739,4116,114.3,316.7,Plasma-A
SUV,1905,2859,79.8,189.0,Fusion-C
Coupe,1235,1857,31.4,120.7,Ion-B
SUV,2167,3249,78.3,194.1,Fusion-C
Coupe,1208,1811,28.4,103.1,Ion-B
SUV,1830,2744,59.6,202.5,Fusion-C
Transport,2413,3624,103.2,182.5280644481887,Plasma-A
Micro,1098,1646,22.5,94.9,Ion-A
Micro,1065,1591,25.8,82.8,Ion-A
Sedan,1510,2260,54.4,173.7,Fusion-B
Coupe,1260,1883,44.1,122.3,Ion-B
Sedan,1467,2197,57.0,190.5,Fusion-B
Micro,1067,1596,32.8,82.6,Ion-A
Sedan,1529,2302,48.8,174.2,Fusion-B
Coupe,1350,2019,36.5,141.1,Ion-B
Coupe,1231,1841,37.6,151.2,Ion-B
SUV,1949,2932,59.4,234.8,Fusion-C
Sedan,1493,2246,40.2,199.8,Fusion-B
Sedan,1404,2100,40.4,196.0,Fusion-B
SUV,2087,3121,63.2,182.5280644481887,Fusion-C
Transport,2639,3953,107.0,336.6,Plasma-A
Micro,937,1407,33.1,111.9,Ion-A
Transport,2692,4032,94.9,253.0,Plasma-A
Sedan,1514,2278,40.5,181.6,Fusion-B
Coupe,1303,1946,40.3,123.5,Ion-B
Micro,1008,1504,31.0,97.0,Ion-A
Coupe,1294,1946,32.2,110.3,Ion-B
Coupe,1277,1909,42.1,134.9,Ion-B
Micro,917,1383,22.4,127.1,Ion-A
Sedan,1462,2190,50.1,163.3,Fusion-B
Transport,2750,4120,107.4,252.0,Plasma-A
SUV,2050,3065,58.6,211.3,Fusion-C
Coupe,1259,1890,36.6,105.9,Ion-B
Micro,964,1451,30.0,82.3,Ion-A
Micro,976,1459,32.3,77.4,Ion-A
Coupe,1301,1956,41.0,99.0,Ion-B
Transport,2538,3801,97.7,291.2,Plasma-A
Transport,2468,3698,85.6,244.4,Plasma-A
Transport,2360,3541,96.8,343.2,Plasma-A
Sedan,1530,2304,51.8,168.5,Fusion-B
Coupe,1395,2096,32.7,110.4,Ion-B
Transport,2201,3308,97.7,258.6,Plasma-A
Coupe,1319,1975,43.1,155.6,Ion-B
Transport,2531,3804,80.9,251.1,Plasma-A
Micro,1057,1582,29.4,108.5,Ion-A
SUV,1832,2739,61.0,189.0,Fusion-C
SUV,2031,3038,67.0,255.6,Fusion-C
SUV,1971,2955,63.3,232.6,Fusion-C
Micro,988,1481,24.0,92.1,Ion-A
Sedan,1498,2240,40.2,191.0,Fusion-B
Sedan,1547,2323,50.1,175.0,Fusion-B
SUV,1805,2702,74.3,194.0,Fusion-C
Sedan,1486,2227,48.3,187.9,Fusion-B
SUV,2074,3106,59.2,218.3,Fusion-C
Coupe,1393,2091,39.9,101.0,Ion-B
Micro,1046,1559,27.6,101.8,Ion-A
Micro,1084,1635,29.4,103.9,Ion-A
Transport,2728,4094,89.3,284.4,Plasma-A
Sedan,1515,2264,57.6,199.0,Fusion-B
Transport,2642,3966,83.2,296.9,Plasma-A
Transport,2641,3956,87.9,247.6,Plasma-A
Coupe,1300,1956,34.7,115.8,Ion-B
Sedan,1431,2149,43.2,158.8,Fusion-B
SUV,2021,3040,80.2,247.8,Fusion-C
Transport,2240,3365,116.8,265.7,Plasma-A
Coupe,1208,1809,31.2,143.8,Ion-B
Micro,992,1484,19.9,98.1,Ion-A
SUV,2030,3052,67.0,217.8,Fusion-C
Coupe,1350,2026,38.0,103.7,Ion-B
SUV,2046,3076,58.9,231.4,Fusion-C
Micro,1072,1609,19.8,100.4,Ion-A
Transport,2603,3901,85.5,296.7,Plasma-A
Micro,916,1368,26.5,114.3,Ion-A
Sedan,1503,2256,43.3,191.1,Fusion-B
SUV,1956,2938,77.8,255.3,Fusion-C
Micro,905,1360,33.0,103.4,Ion-A
Sedan,1471,2212,50.1,163.7,Fusion-B
Transport,2427,3642,114.4,257.2,Plasma-A
Transport,2769,4149,120.9,298.3,Plasma-A
Transport,2312,3477,94.2,289.9,Plasma-A
Coupe,1291,1931,37.6,147.7,Ion-B
Micro,933,1392,27.9,102.0,Ion-A
SUV,1926,2885,67.3,219.7,Fusion-C
Transport,2351,3522,110.4,335.7,Plasma-A
Micro,970,1462,23.9,109.2,Ion-A
Micro,1029,1540,22.7,90.5,Ion-A
Transport,2735,4112,111.4,315.7,Plasma-A
SUV,1899,2857,75.7,189.4,Fusion-C
Transport,2601,3895,74.8,330.6,Plasma-A
Sedan,1469,2212,50.4,146.0,Fusion-B
Micro,952,1431,28.0,93.3,Ion-A
Micro,1061,1600,35.0,98.2,Ion-A
Sedan,1406,2116,53.1,137.4,Fusion-B
Sedan,1480,2220,52.3,147.0,Fusion-B
Sedan,1502,2262,55.4,144.7,Fusion-B
Micro,1036,1561,25.3,103.4,Ion-A
Transport,2245,3360,102.8,255.2,Plasma-A
Transport,2689,4036,95.6,320.3,Plasma-A
Coupe,1282,1930,33.1,138.8,Ion-B
Sedan,1494,2232,54.1,180.2,Fusion-B
Coupe,1252,1878,34.5,131.5,Ion-B
Micro,979,1477,27.7,114.3,Ion-A
Coupe,1360,2035,44.5,122.6,Ion-B
Transport,2778,4167,76.0,317.0,Plasma-A
SUV,2175,3261,62.7,230.0,Fusion-C
Transport,2243,3364,114.9,313.5,Plasma-A
SUV,2014,3029,67.0,212.0,Fusion-C
Transport,2390,3589,97.7,346.3,Plasma-A
Coupe,1364,2054,41.4,131.4,Ion-B
SUV,2032,3052,77.6,233.8,Fusion-C
Transport,2286,3434,100.1,319.8,Plasma-A
Sedan,1470,2212,46.8,153.2,Fusion-B
Micro,1004,1505,29.5,95.4,Ion-A
Coupe,1359,2035,30.7,137.3,Ion-B
Coupe,1332,1996,41.8,152.8,Ion-B
Coupe,1292,1930,30.4,110.6,Ion-B
Coupe,1238,1867,33.5,133.5,Ion-B
Sedan,1559,2330,54.1,183.9,Fusion-B
Sedan,1503,2247,41.7,182.5280644481887,Fusion-B
Coupe,1377,2066,33.7,128.5,Ion-B
Sedan,1494,2239,38.6,151.4,Fusion-B
Transport,2552,3820,100.8,244.4,Plasma-A
Transport,2226,3332,81.0,243.8,Plasma-A
SUV,1808,2707,67.0,254.9,Fusion-C
Transport,2279,3427,88.8,341.1,Plasma-A
Sedan,1582,2365,48.4,200.7,Fusion-B
Micro,1066,1607,34.7,111.0,Ion-A
SUV,2143,3220,76.5,227.8,Fusion-C
Transport,2646,3968,102.9,349.3,Plasma-A
Transport,2629,3947,115.1,182.5280644481887,Plasma-A
Micro,922,1376,27.9,94.3,Ion-A
Transport,2791,4186,80.2,315.5,Plasma-A
Transport,2373,3560,97.7,263.4,Plasma-A
Transport,2462,3700,78.2,322.2,Plasma-A
Coupe,1238,1852,35.5,158.8,Ion-B
Coupe,1274,1907,35.8,106.5,Ion-B
Micro,922,1375,22.7,110.6,Ion-A
Micro,1005,1504,26.3,109.0,Ion-A
Coupe,1304,1953,36.7,154.2,Ion-B
Sedan,1561,2341,40.2,149.7,Fusion-B
Micro,951,1423,21.8,182.5280644481887,Ion-A
SUV,1990,2991,76.3,182.5280644481887,Fusion-C
Micro,1019,1536,31.2,117.6,Ion-A
SUV,2165,3242,61.8,186.9,Fusion-C
Micro,1092,1646,23.0,79.9,Ion-A
Micro,1080,1620,23.1,102.2,Ion-A
Coupe,1305,1964,41.7,115.1,Ion-B
Coupe,1201,1792,38.5,138.0,Ion-B
SUV,2137,3197,57.8,224.6,Fusion-C
SUV,2134,3192,71.3,195.4,Fusion-C
Transport,2528,3785,97.7,265.1,Plasma-A
SUV,1862,2797,70.4,255.4,Fusion-C
Micro,1029,1548,25.1,121.5,Ion-A
Sedan,1403,2106,54.0,167.2,Fusion-B
Coupe,1375,2068,30.5,133.6,Ion-B
Coupe,1237,1865,36.4,119.4,Ion-B
Micro,998,1489,30.2,93.8,Ion-A
Micro,928,1392,24.1,98.2,Ion-A
SUV,1931,2903,79.0,231.5,Fusion-C
SUV,2053,3071,64.2,239.5,Fusion-C
SUV,1849,2769,67.0,208.1,Fusion-C
SUV,2142,3221,66.2,231.2,Fusion-C
Coupe,1341,2004,37.6,118.7,Ion-B
Transport,2539,3809,104.6,325.2,Plasma-A
SUV,1868,2794,67.0,250.5,Fusion-C
SUV,2124,3183,64.6,238.8,Fusion-C
Transport,2726,4093,106.0,350.0,Plasma-A
Transport,2358,3539,98.4,233.0,Plasma-A
Sedan,1447,2177,49.9,168.0,Fusion-B
Sedan,1588,2376,44.4,162.0,Fusion-B
Micro,1080,1613,29.3,110.0,Ion-A
Micro,1094,1632,22.3,89.0,Ion-A
SUV,1806,2705,62.5,204.6,Fusion-C
Sedan,1531,2297,50.3,195.7,Fusion-B
SUV,1956,2939,67.0,182.5280644481887,Fusion-C
Micro,1014,1531,29.9,91.1,Ion-A
Micro,1079,1615,27.8,78.4,Ion-A
Transport,2489,3730,105.7,306.1,Plasma-A
Coupe,1327,2000,33.8,138.6,Ion-B
Sedan,1494,2245,52.2,167.0,Fusion-B
Coupe,1253,1872,37.6,127.5,Ion-B
SUV,2135,3193,75.8,192.5,Fusion-C
Micro,974,1459,32.9,92.7,Ion-A
Coupe,1272,1903,45.1,116.6,Ion-B
Coupe,1244,1861,39.7,128.5,Ion-B
SUV,2035,3047,63.3,257.1,Fusion-C
Transport,2222,3339,106.6,320.9,Plasma-A
Micro,962,1452,22.0,118.2,Ion-A
Coupe,1333,1990,33.4,116.2,Ion-B
SUV,1907,2861,65.1,251.5,Fusion-C
Micro,1031,1556,35.5,182.5280644481887,Ion-A
Micro,976,1459,34.8,72.4,Ion-A
Micro,968,1453,33.8,92.5,Ion-A
Micro,903,1354,32.8,92.2,Ion-A
Coupe,1249,1873,35.1,105.1,Ion-B
SUV,2113,3168,60.8,198.2,Fusion-C
SUV,2066,3096,67.0,186.3,Fusion-C
Sedan,1487,2239,58.6,182.1,Fusion-B
Coupe,1356,2033,33.7,133.6,Ion-B
Coupe,1356,2028,38.8,138.3,Ion-B
Sedan,1562,2347,42.3,168.6,Fusion-B
Sedan,1487,2233,44.4,207.2,Fusion-B
Micro,1073,1612,33.7,94.6,Ion-A
Transport,2478,3724,91.6,237.1,Plasma-A
Coupe,1294,1937,42.5,130.0,Ion-B
Sedan,1549,2323,54.4,187.3,Fusion-B
Transport,2397,3604,90.0,237.5,Plasma-A
Sedan,1407,2106,48.6,179.6,Fusion-B
Coupe,1309,1959,37.6,113.1,Ion-B
Micro,971,1465,27.4,90.5,Ion-A
Transport,2731,4095,97.7,269.2,Plasma-A
Micro,1014,1529,27.9,91.1,Ion-A
