car_type,car_model,engine_class,chassis_weight_kg,moment_of_inertia,engine_weight_kg,thruster_weight_kg,fuel_weight_kg,starting_fuel_kWh,fuel_type,energy_density_MJ_per_kg,mass_density_kg_per_L,total_thrust_kN,thrust_rear_kN,thrust_front_kN,thrust_side_kN,FOV_Threat_Count,Min_Distance_In_FOV,FOV_Density,FOV_Front_Cone_Threat_Count,Angle_Weighted_Density,Threats_Left_Sector,Threats_Right_Sector,Average_Threat_Angle_Offset,heading_deg,previous_heading_deg,test_id,test_date,assigned_by,mission_type,crew_status,navigation_mode,origin_station,destination_station,car_color,last_telemetry_message,ship_serial_number
SUV,Vortex R7,Plasma-A,1250,1.5,264,196,290,210.6,IonGel,5.2,1.1,50.9,30.5,15.3,5.1,4,9.15,0.86,0,0.63,2,0,0.3,66,326,CASE-1169-T,4025-09-16,Tamsin Ryx,commute,automated,auto,Cryon Reach,Helion Hub,FloralWhite,Re-routing due to unstable path.,CXS-5291-RX
Sedan,Stratos M2,Ion-A,950,1.2,236,135,209,212.2,PlasmaCell,6.7,1.3,44.5,26.7,13.3,4.5,6,2.15,0.38,0,0.9,1,5,22.5,52,181,CASE-2677-O,4025-09-05,Captain Kael,commute,automated,auto,Orryx Haven,Lunaris Port,Olive,Minor vibration detected. Monitoring systems.,CXS-7658-IU
Micro,Nimbus X1,Plasma-A,700,0.8,167,89,141,295.2,IonGel,5.2,1.1,72.4,43.4,21.7,7.2,3,3.4,0.81,0,0.38,0,3,20.0,235,179,CASE-9125-H,4025-07-26,Marshal Keir,commute,automated,auto,Cerebra Ring,Lunaris Port,MediumOrchid,Re-routing due to unstable path.,CXS-6000-YY
Sedan,Stratos M2,Ion-A,950,1.2,208,101,149,179.7,PlasmaCell,6.7,1.3,51.1,30.7,15.3,5.1,8,3.98,0.12,2,0.18,2,0,9.8,222,176,CASE-3752-B,4025-07-22,Captain Kael,commute,automated,auto,Vega Spire,Zenthar Relay,Maroon,Minor vibration detected. Monitoring systems.,CXS-6139-MI
SUV,Vortex R7,Ion-A,1250,1.5,327,172,198,279.9,IonGel,5.2,1.1,47.6,28.6,14.3,4.8,3,4.28,0.16,5,0.92,4,2,59.7,63,153,CASE-3456-S,4025-09-22,Dr. Calix Renner,commute,automated,auto,Lunaris Port,Cerebra Ring,Maroon,Minor vibration detected. Monitoring systems.,CXS-9308-GU
SUV,Vortex R7,Fusion-B,1250,1.5,335,166,203,239.4,FusionCore,8.4,1.6,62.2,37.3,18.7,6.2,4,4.65,0.85,2,0.29,3,4,54.6,164,238,CASE-6482-U,4025-10-19,Zara Strix,commute,automated,auto,Cryon Reach,Cerebra Ring,Salmon,Fuel low. Navigating around debris.,CXS-8238-EI
SUV,Vortex R7,Ion-A,1250,1.5,336,153,221,258.7,PlasmaCell,6.7,1.3,78.4,47.0,23.5,7.8,5,1.84,0.96,1,0.67,1,1,13.3,23,125,CASE-4040-X,4025-11-21,Axel Orov,commute,automated,auto,Orryx Haven,Vega Spire,WhiteSmoke,Minor vibration detected. Monitoring systems.,CXS-8784-IX
Micro,Nimbus X1,Plasma-A,700,0.8,174,84,206,277.2,FusionCore,8.4,1.6,63.0,37.8,18.9,6.3,0,9.03,0.87,0,0.78,1,1,72.4,356,265,CASE-7019-S,4025-03-21,Zara Strix,commute,automated,auto,Cerebra Ring,Thalos Crossing,PaleGoldenRod,Fuel low. Navigating around debris.,CXS-8611-LH
Sedan,Stratos M2,Ion-A,950,1.2,251,115,216,126.7,IonGel,5.2,1.1,58.6,35.2,17.6,5.9,7,5.05,0.78,5,0.28,4,3,56.4,140,225,CASE-8348-P,4025-08-06,Zara Strix,commute,automated,auto,Helion Hub,Thalos Crossing,DarkGoldenRod,Minor vibration detected. Monitoring systems.,CXS-2269-YB
Micro,Nimbus X1,Ion-A,700,0.8,138,95,185,163.9,FusionCore,8.4,1.6,61.6,37.0,18.5,6.2,1,4.73,0.4,3,0.42,1,3,35.1,299,356,CASE-2504-U,4025-12-07,Zara Strix,commute,automated,auto,Orryx Haven,Cryon Reach,DimGray,Fuel low. Navigating around debris.,CXS-1320-ZV
Micro,Nimbus X1,Fusion-B,700,0.8,144,110,190,159.7,IonGel,5.2,1.1,55.6,33.4,16.7,5.6,7,1.26,0.4,5,0.8,5,1,75.6,65,318,CASE-9771-C,4025-05-14,Commander Yulo,commute,automated,auto,Cerebra Ring,Cryon Reach,OliveDrab,Fuel low. Navigating around debris.,CXS-9751-MT
Sedan,Stratos M2,Fusion-B,950,1.2,230,137,269,105.4,PlasmaCell,6.7,1.3,65.7,39.4,19.7,6.6,5,2.9,0.39,3,0.28,3,2,75.1,240,9,CASE-8669-I,4025-05-13,Marshal Keir,commute,automated,auto,Orryx Haven,Thalos Crossing,Aqua,Power levels nominal. Adjusting trajectory.,CXS-9837-VX
Sedan,Stratos M2,Ion-A,950,1.2,224,114,117,256.2,PlasmaCell,6.7,1.3,66.1,39.7,19.8,6.6,3,2.14,0.7,4,0.95,3,5,23.1,188,85,CASE-8797-Y,4025-10-05,Tamsin Ryx,commute,automated,auto,Lunaris Port,Cryon Reach,LightGreen,Power levels nominal. Adjusting trajectory.,CXS-2876-YU
Sedan,Stratos M2,Fusion-B,950,1.2,219,106,106,285.8,PlasmaCell,6.7,1.3,63.0,37.8,18.9,6.3,3,1.92,0.8,5,0.6,0,4,70.4,177,272,CASE-1827-J,4025-12-27,Elia Vorn,commute,automated,auto,Cerebra Ring,Cryon Reach,PowderBlue,Minor vibration detected. Monitoring systems.,CXS-8018-FO
Micro,Nimbus X1,Ion-A,700,0.8,143,84,265,168.2,PlasmaCell,6.7,1.3,74.0,44.4,22.2,7.4,7,7.37,0.49,5,0.52,5,2,55.4,275,247,CASE-4315-Q,4025-11-27,Zara Strix,commute,automated,auto,Thalos Crossing,Vega Spire,Fuchsia,Re-routing due to unstable path.,CXS-8616-QD
SUV,Vortex R7,Plasma-A,1250,1.5,325,157,162,266.1,FusionCore,8.4,1.6,43.5,26.1,13.0,4.4,6,4.03,0.54,2,0.18,1,2,71.8,174,143,CASE-4889-U,4025-10-22,Commander Yulo,commute,automated,auto,Thalos Crossing,Cryon Reach,Tan,Minor vibration detected. Monitoring systems.,CXS-5526-TG
Micro,Nimbus X1,Ion-A,700,0.8,120,113,121,148.3,IonGel,5.2,1.1,56.3,33.8,16.9,5.6,4,2.99,0.72,2,0.66,2,3,49.8,176,217,CASE-6126-Y,4025-01-03,Commander Yulo,commute,automated,auto,Cryon Reach,Thalos Crossing,DodgerBlue,Clear path confirmed. Continuing cruise.,CXS-6419-RY
SUV,Vortex R7,Plasma-A,1250,1.5,339,169,178,150.3,FusionCore,8.4,1.6,44.8,26.9,13.4,4.5,3,2.95,0.54,5,0.59,4,4,25.5,51,99,CASE-9-T,4025-12-06,Elia Vorn,commute,automated,auto,Cryon Reach,Helion Hub,MediumBlue,Minor vibration detected. Monitoring systems.,CXS-5853-PA
Sedan,Stratos M2,Ion-A,950,1.2,226,111,103,241.6,FusionCore,8.4,1.6,45.1,27.1,13.5,4.5,0,6.17,0.52,3,0.34,0,2,84.7,244,58,CASE-5947-Z,4025-02-28,Marshal Keir,commute,automated,auto,Lunaris Port,Zenthar Relay,Linen,Clear path confirmed. Continuing cruise.,CXS-2070-HB
SUV,Vortex R7,Ion-A,1250,1.5,312,144,261,237.3,PlasmaCell,6.7,1.3,46.1,27.7,13.8,4.6,6,6.46,0.81,1,0.78,3,3,81.8,152,301,CASE-9295-C,4025-09-25,Tamsin Ryx,commute,automated,auto,Zenthar Relay,Vega Spire,DarkBlue,Power levels nominal. Adjusting trajectory.,CXS-8025-XP
SUV,Vortex R7,Ion-A,1250,1.5,322,179,256,292.0,IonGel,5.2,1.1,44.0,26.4,13.2,4.4,8,1.68,0.1,3,0.69,3,2,2.9,147,144,CASE-8727-Y,4025-04-06,Elia Vorn,commute,automated,auto,Cryon Reach,Zenthar Relay,DarkSalmon,Fuel low. Navigating around debris.,CXS-8438-EV
Sedan,Stratos M2,Fusion-B,950,1.2,209,116,250,232.2,PlasmaCell,6.7,1.3,77.3,46.4,23.2,7.7,2,1.64,0.25,2,0.6,4,2,39.5,239,352,CASE-9007-F,4025-05-27,Tamsin Ryx,commute,automated,auto,Cerebra Ring,Vega Spire,LightGray,Fuel low. Navigating around debris.,CXS-5982-QT
Micro,Nimbus X1,Fusion-B,700,0.8,145,97,238,198.8,PlasmaCell,6.7,1.3,43.2,25.9,13.0,4.3,1,3.06,0.71,4,0.59,0,5,73.9,295,20,CASE-3470-R,4025-05-01,Captain Kael,commute,automated,auto,Lunaris Port,Cerebra Ring,Green,Minor vibration detected. Monitoring systems.,CXS-3870-WJ
SUV,Vortex R7,Fusion-B,1250,1.5,316,181,171,136.3,FusionCore,8.4,1.6,63.4,38.0,19.0,6.3,5,7.03,0.87,2,0.41,3,2,59.6,205,281,CASE-6118-O,4025-07-11,Commander Yulo,commute,automated,auto,Thalos Crossing,Vega Spire,Tomato,Re-routing due to unstable path.,CXS-1601-OD
SUV,Vortex R7,Ion-A,1250,1.5,261,160,182,123.2,FusionCore,8.4,1.6,70.9,42.5,21.3,7.1,5,6.6,0.55,3,0.76,1,2,49.4,147,224,CASE-3681-C,4025-04-17,Zara Strix,commute,automated,auto,Lunaris Port,Thalos Crossing,MediumSlateBlue,Power levels nominal. Adjusting trajectory.,CXS-8941-AS
Sedan,Stratos M2,Plasma-A,950,1.2,183,140,161,242.0,PlasmaCell,6.7,1.3,52.4,31.4,15.7,5.2,1,6.83,0.24,5,0.29,5,2,37.4,247,241,CASE-3770-S,4025-02-15,Elia Vorn,commute,automated,auto,Lunaris Port,Cerebra Ring,Indigo,Fuel low. Navigating around debris.,CXS-4993-AC
SUV,Vortex R7,Plasma-A,1250,1.5,320,149,148,284.4,FusionCore,8.4,1.6,60.3,36.2,18.1,6.0,8,3.4,0.1,5,0.3,4,4,89.9,250,76,CASE-964-H,4025-06-26,Axel Orov,commute,automated,auto,Orryx Haven,Vega Spire,CornflowerBlue,Clear path confirmed. Continuing cruise.,CXS-8316-BK
Micro,Nimbus X1,Ion-A,700,0.8,150,102,241,252.6,FusionCore,8.4,1.6,55.1,33.1,16.5,5.5,6,1.39,0.77,5,0.91,3,3,89.0,333,77,CASE-8423-H,4025-07-08,Tamsin Ryx,commute,automated,auto,Helion Hub,Cryon Reach,LightSeaGreen,Minor vibration detected. Monitoring systems.,CXS-9115-VP
Sedan,Stratos M2,Ion-A,950,1.2,196,132,184,273.9,PlasmaCell,6.7,1.3,75.0,45.0,22.5,7.5,6,8.84,0.97,0,0.47,2,2,56.1,203,332,CASE-8834-E,4025-12-05,Commander Yulo,commute,automated,auto,Thalos Crossing,Vega Spire,Sienna,Power levels nominal. Adjusting trajectory.,CXS-2315-HZ
SUV,Vortex R7,Fusion-B,1250,1.5,336,194,197,290.8,PlasmaCell,6.7,1.3,65.1,39.1,19.5,6.5,4,9.98,0.77,3,0.98,5,5,78.5,227,85,CASE-6669-G,4025-11-22,Elia Vorn,commute,automated,auto,Thalos Crossing,Lunaris Port,DarkGray,Fuel low. Navigating around debris.,CXS-5906-DV
Sedan,Stratos M2,Fusion-B,950,1.2,185,120,175,171.7,IonGel,5.2,1.1,57.2,34.3,17.2,5.7,6,6.58,0.32,4,0.14,3,5,22.9,130,341,CASE-5804-N,4025-03-03,Marshal Keir,commute,automated,auto,Cryon Reach,Cerebra Ring,PaleVioletRed,Fuel low. Navigating around debris.,CXS-1153-OX
SUV,Vortex R7,Ion-A,1250,1.5,286,183,140,114.8,PlasmaCell,6.7,1.3,77.8,46.7,23.3,7.8,6,8.68,0.2,3,0.57,4,2,89.3,151,11,CASE-1612-B,4025-05-07,Axel Orov,commute,automated,auto,Zenthar Relay,Cerebra Ring,PaleGreen,Clear path confirmed. Continuing cruise.,CXS-7484-XK
SUV,Vortex R7,Ion-A,1250,1.5,251,176,299,248.9,PlasmaCell,6.7,1.3,42.0,25.2,12.6,4.2,3,6.59,0.71,5,0.77,5,1,56.5,321,330,CASE-4073-G,4025-06-08,Tamsin Ryx,commute,automated,auto,Thalos Crossing,Zenthar Relay,Gold,Minor vibration detected. Monitoring systems.,CXS-1645-RO
SUV,Vortex R7,Ion-A,1250,1.5,306,142,193,246.5,PlasmaCell,6.7,1.3,43.6,26.2,13.1,4.4,8,8.89,0.43,4,0.91,1,2,82.3,246,151,CASE-6912-F,4025-04-05,Zara Strix,commute,automated,auto,Zenthar Relay,Helion Hub,LightSeaGreen,Fuel low. Navigating around debris.,CXS-6549-OH
Sedan,Stratos M2,Ion-A,950,1.2,239,104,293,293.3,IonGel,5.2,1.1,74.4,44.6,22.3,7.4,8,2.11,0.43,5,0.67,4,3,74.0,190,55,CASE-7260-Z,4025-01-09,Elia Vorn,commute,automated,auto,Cerebra Ring,Helion Hub,DarkGreen,Clear path confirmed. Continuing cruise.,CXS-4830-BU
SUV,Vortex R7,Plasma-A,1250,1.5,253,179,183,283.1,PlasmaCell,6.7,1.3,48.9,29.3,14.7,4.9,0,9.52,0.37,3,0.12,1,4,12.2,232,189,CASE-241-C,4025-02-05,Axel Orov,commute,automated,auto,Vega Spire,Thalos Crossing,LavenderBlush,Clear path confirmed. Continuing cruise.,CXS-9850-FN
SUV,Vortex R7,Fusion-B,1250,1.5,325,187,139,277.1,PlasmaCell,6.7,1.3,66.2,39.7,19.9,6.6,3,4.99,0.96,2,0.1,5,2,49.0,330,183,CASE-7886-G,4025-12-12,Axel Orov,commute,automated,auto,Thalos Crossing,Cerebra Ring,PaleGoldenRod,Power levels nominal. Adjusting trajectory.,CXS-1992-BF
SUV,Vortex R7,Fusion-B,1250,1.5,285,152,216,118.3,IonGel,5.2,1.1,48.5,29.1,14.5,4.9,1,8.47,0.6,4,0.22,1,2,69.7,305,1,CASE-35-M,4025-10-07,Tamsin Ryx,commute,automated,auto,Lunaris Port,Helion Hub,LightGray,Fuel low. Navigating around debris.,CXS-5542-ZZ
Sedan,Stratos M2,Fusion-B,950,1.2,196,134,144,122.0,FusionCore,8.4,1.6,74.7,44.8,22.4,7.5,0,2.57,0.15,5,0.42,0,5,5.7,229,185,CASE-4673-N,4025-10-11,Captain Kael,commute,automated,auto,Orryx Haven,Lunaris Port,SlateBlue,Fuel low. Navigating around debris.,CXS-9408-EG
Micro,Nimbus X1,Fusion-B,700,0.8,126,108,156,289.1,PlasmaCell,6.7,1.3,41.7,25.0,12.5,4.2,6,4.84,0.2,5,0.91,0,0,29.0,75,33,CASE-3566-B,4025-08-28,Dr. Calix Renner,commute,automated,auto,Zenthar Relay,Thalos Crossing,Yellow,Power levels nominal. Adjusting trajectory.,CXS-3067-BX
SUV,Vortex R7,Fusion-B,1250,1.5,329,180,240,242.4,PlasmaCell,6.7,1.3,55.2,33.1,16.6,5.5,8,7.49,0.29,3,0.89,3,2,74.5,204,212,CASE-936-B,4025-12-04,Zara Strix,commute,automated,auto,Zenthar Relay,Thalos Crossing,Silver,Power levels nominal. Adjusting trajectory.,CXS-2557-QQ
SUV,Vortex R7,Ion-A,1250,1.5,304,160,165,174.9,PlasmaCell,6.7,1.3,46.1,27.7,13.8,4.6,1,7.7,0.44,1,0.56,4,4,50.6,343,62,CASE-931-Q,4025-02-14,Elia Vorn,commute,automated,auto,Thalos Crossing,Vega Spire,Cyan,Power levels nominal. Adjusting trajectory.,CXS-7730-FC
SUV,Vortex R7,Plasma-A,1250,1.5,335,200,284,110.3,FusionCore,8.4,1.6,51.5,30.9,15.4,5.2,2,6.91,0.3,0,0.35,4,2,10.3,142,293,CASE-1113-V,4025-09-07,Elia Vorn,commute,automated,auto,Zenthar Relay,Helion Hub,LavenderBlush,Minor vibration detected. Monitoring systems.,CXS-4705-MD
SUV,Vortex R7,Plasma-A,1250,1.5,321,189,257,235.0,PlasmaCell,6.7,1.3,62.3,37.4,18.7,6.2,4,9.29,0.42,1,0.87,4,5,36.1,72,324,CASE-4033-S,4025-12-25,Marshal Keir,commute,automated,auto,Zenthar Relay,Lunaris Port,BlueViolet,Re-routing due to unstable path.,CXS-1502-TC
Sedan,Stratos M2,Fusion-B,950,1.2,247,113,207,190.7,FusionCore,8.4,1.6,46.3,27.8,13.9,4.6,0,7.07,0.34,5,0.42,4,3,37.3,110,262,CASE-9562-S,4025-03-06,Elia Vorn,commute,automated,auto,Zenthar Relay,Helion Hub,Turquoise,Power levels nominal. Adjusting trajectory.,CXS-2864-KI
SUV,Vortex R7,Ion-A,1250,1.5,305,147,273,235.7,FusionCore,8.4,1.6,59.5,35.7,17.8,6.0,0,2.84,0.95,1,0.76,2,2,10.8,254,220,CASE-5147-H,4025-10-02,Tamsin Ryx,commute,automated,auto,Zenthar Relay,Lunaris Port,LightGray,Clear path confirmed. Continuing cruise.,CXS-3878-ME
Sedan,Stratos M2,Plasma-A,950,1.2,228,134,158,200.1,PlasmaCell,6.7,1.3,73.3,44.0,22.0,7.3,7,9.29,0.88,4,0.43,3,5,57.6,148,58,CASE-4915-O,4025-07-01,Zara Strix,commute,automated,auto,Helion Hub,Vega Spire,Maroon,Power levels nominal. Adjusting trajectory.,CXS-7636-YC
Sedan,Stratos M2,Ion-A,950,1.2,221,110,217,266.4,PlasmaCell,6.7,1.3,76.8,46.1,23.0,7.7,6,5.72,0.46,2,0.75,1,2,70.1,39,261,CASE-7508-T,4025-07-19,Elia Vorn,commute,automated,auto,Vega Spire,Cerebra Ring,DarkGreen,Fuel low. Navigating around debris.,CXS-2868-CR
Micro,Nimbus X1,Ion-A,700,0.8,152,92,189,245.5,FusionCore,8.4,1.6,72.8,43.7,21.8,7.3,2,6.42,0.78,5,0.08,5,3,41.8,288,296,CASE-8288-I,4025-05-07,Elia Vorn,commute,automated,auto,Orryx Haven,Cryon Reach,DarkSeaGreen,Fuel low. Navigating around debris.,CXS-8354-LC
Micro,Nimbus X1,Ion-A,700,0.8,179,116,262,297.3,PlasmaCell,6.7,1.3,52.9,31.7,15.9,5.3,4,8.17,0.63,2,0.51,2,3,40.7,29,188,CASE-6054-J,4025-08-15,Commander Yulo,commute,automated,auto,Helion Hub,Orryx Haven,DimGray,Power levels nominal. Adjusting trajectory.,CXS-5703-OR
Sedan,Stratos M2,Plasma-A,950,1.2,191,139,229,176.9,PlasmaCell,6.7,1.3,63.2,37.9,19.0,6.3,8,2.36,0.16,0,0.81,2,5,7.6,330,88,CASE-4956-T,4025-10-16,Tamsin Ryx,commute,automated,auto,Lunaris Port,Thalos Crossing,Wheat,Re-routing due to unstable path.,CXS-1641-AV
Sedan,Stratos M2,Plasma-A,950,1.2,236,128,233,222.0,PlasmaCell,6.7,1.3,54.6,32.8,16.4,5.5,0,8.1,0.68,0,0.33,4,5,34.8,129,336,CASE-4905-V,4025-11-20,Zara Strix,commute,automated,auto,Zenthar Relay,Cerebra Ring,DarkKhaki,Re-routing due to unstable path.,CXS-3463-EI
SUV,Vortex R7,Ion-A,1250,1.5,260,177,136,283.3,PlasmaCell,6.7,1.3,52.4,31.4,15.7,5.2,5,8.32,0.7,5,1.0,4,0,58.1,216,260,CASE-1753-X,4025-09-13,Elia Vorn,commute,automated,auto,Cerebra Ring,Orryx Haven,DeepSkyBlue,Re-routing due to unstable path.,CXS-6928-IJ
Sedan,Stratos M2,Plasma-A,950,1.2,226,119,154,168.3,IonGel,5.2,1.1,70.6,42.4,21.2,7.1,1,5.57,0.59,5,0.88,0,5,30.3,316,67,CASE-3450-W,4025-05-28,Marshal Keir,commute,automated,auto,Cryon Reach,Orryx Haven,MediumSpringGreen,Power levels nominal. Adjusting trajectory.,CXS-7172-GV
Sedan,Stratos M2,Plasma-A,950,1.2,200,111,297,224.9,PlasmaCell,6.7,1.3,76.1,45.7,22.8,7.6,3,9.73,0.65,5,0.78,1,4,21.5,240,99,CASE-4325-Q,4025-11-24,Zara Strix,commute,automated,auto,Thalos Crossing,Lunaris Port,SlateGray,Re-routing due to unstable path.,CXS-7026-IB
Micro,Nimbus X1,Ion-A,700,0.8,180,116,218,253.9,FusionCore,8.4,1.6,71.1,42.7,21.3,7.1,4,1.47,0.53,2,0.55,0,5,76.1,63,145,CASE-6939-I,4025-03-28,Tamsin Ryx,commute,automated,auto,Cerebra Ring,Orryx Haven,Brown,Minor vibration detected. Monitoring systems.,CXS-2374-AK
Sedan,Stratos M2,Ion-A,950,1.2,214,128,137,266.2,PlasmaCell,6.7,1.3,43.7,26.2,13.1,4.4,6,5.52,0.31,0,0.37,0,2,83.8,332,171,CASE-4291-F,4025-07-02,Captain Kael,commute,automated,auto,Cryon Reach,Thalos Crossing,Red,Power levels nominal. Adjusting trajectory.,CXS-3392-RW
Sedan,Stratos M2,Fusion-B,950,1.2,184,118,278,266.2,FusionCore,8.4,1.6,70.4,42.2,21.1,7.0,2,5.94,0.75,4,0.42,2,1,27.1,24,122,CASE-9189-A,4025-05-07,Elia Vorn,commute,automated,auto,Thalos Crossing,Lunaris Port,DarkOliveGreen,Power levels nominal. Adjusting trajectory.,CXS-7878-CW
Micro,Nimbus X1,Ion-A,700,0.8,170,119,116,122.2,FusionCore,8.4,1.6,76.2,45.7,22.9,7.6,5,3.17,0.47,5,0.67,4,2,6.1,269,278,CASE-8938-B,4025-07-01,Marshal Keir,commute,automated,auto,Lunaris Port,Cryon Reach,NavajoWhite,Re-routing due to unstable path.,CXS-9312-SR
Micro,Nimbus X1,Ion-A,700,0.8,155,81,220,108.7,FusionCore,8.4,1.6,55.5,33.3,16.6,5.6,3,7.6,0.67,4,0.74,2,1,4.0,279,173,CASE-7041-E,4025-02-12,Dr. Calix Renner,commute,automated,auto,Helion Hub,Zenthar Relay,BlueViolet,Re-routing due to unstable path.,CXS-3868-JL
Micro,Nimbus X1,Ion-A,700,0.8,149,110,146,262.3,PlasmaCell,6.7,1.3,42.5,25.5,12.8,4.2,3,8.97,0.38,2,0.52,4,3,22.8,331,97,CASE-5862-G,4025-01-26,Axel Orov,commute,automated,auto,Thalos Crossing,Lunaris Port,LightBlue,Fuel low. Navigating around debris.,CXS-5687-VD
